ticker,price,date
EL,263.87,2022-03-07
ING,9.03,2022-03-07
UBS,15.12,2022-03-07
KRG,21.95,2022-03-07
VSH,17.87,2022-03-07
TER,106.42,2022-03-07
EMB,93.87,2022-03-07
SPSB,30.33,2022-03-07
TWLO,140.0,2022-03-07
TRUE,3.08,2022-03-07
RLGY,15.33,2022-03-07
HPP,26.52,2022-03-07
CNO,22.79,2022-03-07
JNPR,33.04,2022-03-07
SMH,242.64,2022-03-07
URBN,23.96,2022-03-07
ROKU,112.45,2022-03-07
FEDU,0.59,2022-03-07
AUD,3.0,2022-03-07
BANC,18.18,2022-03-07
INVH,38.26,2022-03-07
OMF,43.5,2022-03-07
LW,52.65,2022-03-07
CTRE,17.26,2022-03-07
NHI,55.69,2022-03-07
FE,44.57,2022-03-07
NOC,477.95,2022-03-07
ASH,85.05,2022-03-07
MCHP,65.14,2022-03-07
KLIC,47.12,2022-03-07
O,64.67,2022-03-07
XLV,130.21,2022-03-07
FET,22.61,2022-03-07
TPH,21.65,2022-03-07
AMX,18.11,2022-03-07
FLO,25.8,2022-03-07
SHO,10.15,2022-03-07
TEAM,244.24,2022-03-07
COF,124.8,2022-03-07
EWL,44.22,2022-03-07
FLT,219.13,2022-03-07
PLUG,23.24,2022-03-07
HIMX,10.67,2022-03-07
IGT,22.07,2022-03-07
IBB,120.62,2022-03-07
FANG,134.44,2022-03-07
XLRE,45.82,2022-03-07
TROW,134.46,2022-03-07
ARLP,14.86,2022-03-07
OSK,102.53,2022-03-07
DHR,263.02,2022-03-07
BLMN,18.37,2022-03-07
BNDX,53.88,2022-03-07
AMN,101.13,2022-03-07
PPC,21.07,2022-03-07
GNTX,27.65,2022-03-07
RCL,63.28,2022-03-07
INTU,437.39,2022-03-07
W,126.23,2022-03-07
PCAR,83.19,2022-03-07
IR,44.9,2022-03-07
PEG,67.71,2022-03-07
FBP,11.95,2022-03-07
WEC,95.45,2022-03-07
MDC,42.01,2022-03-07
TISI,0.89,2022-03-07
YUMC,46.72,2022-03-07
ALV,70.25,2022-03-07
IWF,249.91,2022-03-07
BHP,72.4,2022-03-07
BXP,121.11,2022-03-07
BYD,60.05,2022-03-07
WGO,57.46,2022-03-07
PUMP,14.7,2022-03-07
NOG,27.08,2022-03-07
FOLD,7.89,2022-03-07
JBHT,199.95,2022-03-07
AGG,109.66,2022-03-07
FBHS,81.01,2022-03-07
TXT,67.98,2022-03-07
EXPD,99.79,2022-03-07
EXPE,157.01,2022-03-07
WERN,43.74,2022-03-07
AGI,8.22,2022-03-07
ED,90.14,2022-03-07
HCSG,16.29,2022-03-07
DVAX,9.87,2022-03-07
DLTR,140.86,2022-03-07
VIXY,23.24,2022-03-07
OUT,25.23,2022-03-07
MTSI,55.63,2022-03-07
DBD,6.81,2022-03-07
CBT,67.99,2022-03-07
STOR,29.14,2022-03-07
VEU,53.45,2022-03-07
BGCP,4.29,2022-03-07
VCIT,87.93,2022-03-07
ABB,30.5,2022-03-07
GTE,1.78,2022-03-07
SWKS,128.77,2022-03-07
CP,77.9,2022-03-07
PNR,54.53,2022-03-07
PKI,172.26,2022-03-07
IIVI,62.18,2022-03-07
CROX,67.44,2022-03-07
ASB,22.43,2022-03-07
UHS,150.42,2022-03-07
ENB,44.24,2022-03-07
TDC,44.97,2022-03-07
AG,12.51,2022-03-07
ACHC,61.53,2022-03-07
NAT,2.31,2022-03-07
SPG,128.27,2022-03-07
EWA,24.29,2022-03-07
QRTEA,4.7,2022-03-07
TRIP,20.65,2022-03-07
TRP,55.75,2022-03-07
FAST,54.1,2022-03-07
RH,331.0,2022-03-07
IVV,421.2,2022-03-07
CBRE,86.46,2022-03-07
HGV,44.09,2022-03-07
AEG,3.99,2022-03-07
BTI,39.49,2022-03-07
EWP,22.46,2022-03-07
NVS,83.54,2022-03-07
EWBC,71.35,2022-03-07
QSR,54.31,2022-03-07
GSAT,1.11,2022-03-07
DBEU,31.01,2022-03-07
VRAY,3.91,2022-03-07
SGH,25.03,2022-03-07
ALNY,163.0,2022-03-07
SCHB,98.95,2022-03-07
BMRN,74.28,2022-03-07
CASA,4.32,2022-03-07
SCZ,61.01,2022-03-07
AGNC,12.99,2022-03-07
HRTX,5.17,2022-03-07
LDOS,106.86,2022-03-07
MPW,20.13,2022-03-07
TXMD,0.3,2022-03-07
CIM,11.85,2022-03-07
INSM,23.16,2022-03-07
NG,7.52,2022-03-07
BGFV,15.29,2022-03-07
AEE,89.57,2022-03-07
HCC,38.51,2022-03-07
LAMR,101.57,2022-03-07
EXEL,20.7,2022-03-07
HZNP,98.64,2022-03-07
ADI,146.28,2022-03-07
FLOT,50.59,2022-03-07
AKBA,2.53,2022-03-07
OLED,155.18,2022-03-07
EYE,38.12,2022-03-07
MBT,5.5,2022-03-07
TMO,534.75,2022-03-07
LBRDA,131.64,2022-03-07
OFC,27.61,2022-03-07
STT,78.17,2022-03-07
HLF,35.3,2022-03-07
WRK,41.51,2022-03-07
GREK,23.62,2022-03-07
BR,147.28,2022-03-07
MCD,224.33,2022-03-07
PRO,29.36,2022-03-07
SSNC,71.89,2022-03-07
TWO,5.01,2022-03-07
CHTR,555.64,2022-03-07
AXL,7.28,2022-03-07
ACAD,24.4,2022-03-07
VLY,12.91,2022-03-07
VOD,15.79,2022-03-07
EXTR,10.77,2022-03-07
SUN,42.1,2022-03-07
VECO,27.49,2022-03-07
ZEN,113.33,2022-03-07
ATEN,13.55,2022-03-07
CRC,43.45,2022-03-07
ATUS,10.85,2022-03-07
SIG,61.92,2022-03-07
BDC,53.34,2022-03-07
ERIC,7.71,2022-03-07
XPO,60.29,2022-03-07
APO,58.29,2022-03-07
CRI,91.58,2022-03-07
MANH,126.69,2022-03-07
AGCO,117.81,2022-03-07
TILE,13.11,2022-03-07
MMC,151.81,2022-03-07
GNW,3.79,2022-03-07
CAKE,32.25,2022-03-07
CAR,162.3,2022-03-07
TMHC,30.18,2022-03-07
URI,298.24,2022-03-07
SPLK,127.12,2022-03-07
VRSN,214.85,2022-03-07
MCO,314.69,2022-03-07
SLG,76.81,2022-03-07
BZUN,8.58,2022-03-07
PAGS,12.34,2022-03-07
L,59.68,2022-03-07
NWSA,20.28,2022-03-07
MBI,13.89,2022-03-07
ARNA,93.62,2022-03-07
VNO,43.21,2022-03-07
PDS,61.99,2022-03-07
BCC,73.45,2022-03-07
ULTA,350.84,2022-03-07
PRTY,3.22,2022-03-07
JACK,79.17,2022-03-07
OGE,39.33,2022-03-07
QGEN,43.79,2022-03-07
CPRT,109.64,2022-03-07
EAT,31.33,2022-03-07
DXC,28.95,2022-03-07
UEC,4.58,2022-03-07
CLVS,1.5,2022-03-07
UDR,57.6,2022-03-07
KBR,53.66,2022-03-07
STM,35.66,2022-03-07
AQUA,41.95,2022-03-07
SBRA,13.13,2022-03-07
EQT,26.52,2022-03-07
FISV,94.92,2022-03-07
SPIB,34.71,2022-03-07
SRE,152.84,2022-03-07
DIA,328.47,2022-03-07
SAVE,18.59,2022-03-07
DXLG,3.76,2022-03-07
HTA,31.08,2022-03-07
NPTN,15.13,2022-03-07
SQM,72.07,2022-03-07
SXT,75.92,2022-03-07
OMC,75.1,2022-03-07
LXP,15.56,2022-03-07
ONB,16.78,2022-03-07
FMC,118.91,2022-03-07
KN,21.04,2022-03-07
KW,21.66,2022-03-07
SCS,11.52,2022-03-07
CXW,8.59,2022-03-07
DFS,101.35,2022-03-07
VTV,142.05,2022-03-07
PH,271.92,2022-03-07
USA,7.03,2022-03-07
CIEN,58.76,2022-03-07
OIS,7.11,2022-03-07
SCCO,74.28,2022-03-07
VT,93.9,2022-03-07
YEXT,6.0,2022-03-07
ATSG,30.98,2022-03-07
REVG,12.9,2022-03-07
ALLE,114.73,2022-03-07
MHK,123.76,2022-03-07
SPWH,10.96,2022-03-07
TWNK,21.94,2022-03-07
EQIX,703.07,2022-03-07
VNTR,1.91,2022-03-07
SUM,26.75,2022-03-07
RDFN,18.51,2022-03-07
ERJ,12.04,2022-03-07
UNM,26.35,2022-03-07
NJR,45.44,2022-03-07
NNN,42.02,2022-03-07
PAGP,11.59,2022-03-07
TNA,53.54,2022-03-07
LIVN,73.72,2022-03-07
CTAS,371.02,2022-03-07
REGI,60.83,2022-03-07
VRNT,48.34,2022-03-07
HAS,89.13,2022-03-07
AOS,67.32,2022-03-07
DGX,136.1,2022-03-07
CUZ,39.08,2022-03-07
HALO,34.75,2022-03-07
SGMO,5.56,2022-03-07
KTOS,20.73,2022-03-07
FIS,87.11,2022-03-07
SCHX,99.75,2022-03-07
