indicator_id,country_id,date_id,stat,created_at,updated_at
1,1,41576,0.96,2013-10-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,41545,1.18,2013-09-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,41515,1.52,2013-08-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,41484,1.96,2013-07-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,41453,1.75,2013-06-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,41423,1.36,2013-05-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,41392,1.06,2013-04-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,41362,1.47,2013-03-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,41331,1.98,2013-02-28 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,41303,1.59,2013-01-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,41272,1.74,2012-12-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,41241,1.76,2012-11-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,41211,2.16,2012-10-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,41180,1.99,2012-09-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,41150,1.69,2012-08-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,41119,1.41,2012-07-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,41088,1.66,2012-06-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,41058,1.7,2012-05-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,41027,2.3,2012-04-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,40997,2.65,2012-03-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,40966,2.87,2012-02-29 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,40937,2.93,2012-01-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,40906,2.96,2011-12-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,40875,3.39,2011-11-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,40845,3.53,2011-10-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,40814,3.87,2011-09-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,40784,3.77,2011-08-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,40753,3.63,2011-07-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,40722,3.56,2011-06-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,40692,3.57,2011-05-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,40661,3.16,2011-04-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,40631,2.68,2011-03-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,40600,2.11,2011-02-28 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,40572,1.63,2011-01-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,40541,1.5,2010-12-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,40510,1.14,2010-11-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,40480,1.17,2010-10-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,40449,1.14,2010-09-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,40419,1.15,2010-08-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,40388,1.24,2010-07-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,40357,1.05,2010-06-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,40327,2.02,2010-05-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,40296,2.24,2010-04-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,40266,2.31,2010-03-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,40235,2.14,2010-02-28 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,40207,2.63,2010-01-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,40176,2.72,2009-12-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,40145,1.84,2009-11-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,40115,-0.18,2009-10-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,40084,-1.29,2009-09-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,40054,-1.48,2009-08-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,40023,-2.1,2009-07-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,39992,-1.43,2009-06-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,39962,-1.28,2009-05-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,39931,-0.74,2009-04-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,39901,-0.38,2009-03-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,39870,0.24,2009-02-28 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,39842,0.03,2009-01-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,39811,0.09,2008-12-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,39780,1.07,2008-11-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,39750,3.66,2008-10-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,39719,4.94,2008-09-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,39689,5.37,2008-08-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,39658,5.6,2008-07-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,39627,5.02,2008-06-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,39597,4.18,2008-05-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,39566,3.94,2008-04-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,39536,3.98,2008-03-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,39505,4.03,2008-02-29 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,39476,4.28,2008-01-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,39445,4.08,2007-12-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,39414,4.31,2007-11-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,39384,3.54,2007-10-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,39353,2.76,2007-09-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,39323,1.97,2007-08-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,39292,2.36,2007-07-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,39261,2.69,2007-06-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,39231,2.69,2007-05-31 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
1,1,39200,2.57,2007-04-30 08:00:00.000 +0800,2022-03-11 18:01:41.839 +0800
