sentiment_id,date_id,stat,created_at,updated_at
1,43368,36.22,2018-09-27 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43361,32.04,2018-09-20 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43354,32.09,2018-09-13 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43347,42.22,2018-09-06 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43340,43.5,2018-08-30 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43333,38.46,2018-08-23 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43326,36.17,2018-08-16 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43319,36.36,2018-08-09 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43312,29.11,2018-08-02 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43305,31.52,2018-07-26 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43298,34.66,2018-07-19 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43291,43.05,2018-07-12 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43284,27.86,2018-07-05 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43277,28.45,2018-06-28 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43270,38.72,2018-06-21 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43263,44.78,2018-06-14 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43256,38.93,2018-06-07 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43249,35.02,2018-05-31 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43242,38.56,2018-05-24 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43235,36.68,2018-05-17 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43228,33.51,2018-05-10 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43221,28.4,2018-05-03 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43214,36.91,2018-04-26 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43207,37.78,2018-04-19 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43200,26.09,2018-04-12 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43193,31.9,2018-04-05 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43186,31.94,2018-03-29 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43179,33.23,2018-03-22 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43172,36.84,2018-03-15 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43165,26.4,2018-03-08 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43158,37.28,2018-03-01 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43151,44.65,2018-02-22 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43144,48.52,2018-02-15 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43137,37.03,2018-02-08 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43130,44.77,2018-02-01 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43123,45.45,2018-01-25 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43116,54.11,2018-01-18 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43109,48.67,2018-01-11 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43102,59.75,2018-01-04 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43095,52.65,2017-12-28 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43088,50.5,2017-12-21 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43081,45,2017-12-14 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43074,36.88,2017-12-07 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43067,35.95,2017-11-30 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43060,35.49,2017-11-23 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43053,29.35,2017-11-16 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
1,43046,45.1,2017-11-09 08:00:00.000 +0800,2022-03-11 17:13:33.082 +0800
