ticker,price,date
WELL,87.08,2022-03-06
TJX,62.54,2022-03-06
PLD,150.84,2022-03-06
KSS,58.77,2022-03-06
TLT,140.24,2022-03-06
DRI,132.04,2022-03-06
ENDP,2.35,2022-03-06
ATI,26.05,2022-03-06
IAG,3.33,2022-03-06
VFC,54.93,2022-03-06
BDN,13.6,2022-03-06
HON,187.43,2022-03-06
YNDX,18.94,2022-03-06
GOOGL,2638.13,2022-03-06
ICE,135.7,2022-03-06
OMER,6.39,2022-03-06
WY,39.3,2022-03-06
HEFA,31.66,2022-03-06
BLL,90.2,2022-03-06
CGNX,67.62,2022-03-06
AMGN,232.91,2022-03-06
FSLR,71.85,2022-03-06
IVZ,18.95,2022-03-06
DG,210.98,2022-03-06
SID,5.68,2022-03-06
SLM,17.5,2022-03-06
SLCA,14.13,2022-03-06
SGU,10.39,2022-03-06
ODP,43.38,2022-03-06
PK,18.04,2022-03-06
TOL,53.13,2022-03-06
PDCO,31.75,2022-03-06
ITB,66.33,2022-03-06
Z,51.71,2022-03-06
BCO,67.75,2022-03-06
CME,243.77,2022-03-06
BKD,6.96,2022-03-06
PPBI,35.91,2022-03-06
AIV,7.32,2022-03-06
EXC,44.28,2022-03-06
TAP,50.87,2022-03-06
MON,9.76,2022-03-06
UNP,264.63,2022-03-06
IWD,162.14,2022-03-06
BDX,275.42,2022-03-06
GME,111.66,2022-03-06
MX,17.14,2022-03-06
RLJ,13.24,2022-03-06
USMV,75.25,2022-03-06
NCLH,17.39,2022-03-06
NOV,18.32,2022-03-06
CNDT,4.24,2022-03-06
LMT,458.15,2022-03-06
MTZ,74.9,2022-03-06
TBT,18.38,2022-03-06
WEN,21.53,2022-03-06
VNQ,105.24,2022-03-06
GPS,14.25,2022-03-06
SYY,84.96,2022-03-06
CEF,19.41,2022-03-06
FTV,60.6,2022-03-06
BKI,60.72,2022-03-06
CTSH,88.88,2022-03-06
HOLX,72.22,2022-03-06
EIX,65.59,2022-03-06
URA,23.27,2022-03-06
CTXS,101.5,2022-03-06
CPE,59.79,2022-03-06
XME,59.11,2022-03-06
CF,91.25,2022-03-06
PNC,184.87,2022-03-06
SABR,8.79,2022-03-06
WIT,7.32,2022-03-06
LYB,97.13,2022-03-06
DISH,30.16,2022-03-06
MGA,62.45,2022-03-06
AEO,18.08,2022-03-06
XHB,69.28,2022-03-06
BP,28.01,2022-03-06
XEL,71.26,2022-03-06
NTNX,25.01,2022-03-06
VVV,30.56,2022-03-06
HQY,52.34,2022-03-06
ARCC,21.92,2022-03-06
UPS,210.39,2022-03-06
MUR,37.35,2022-03-06
VMC,177.1,2022-03-06
SDS,41.68,2022-03-06
NOMD,22.91,2022-03-06
ANTM,476.84,2022-03-06
SFIX,11.17,2022-03-06
GD,245.29,2022-03-06
KIM,23.73,2022-03-06
FNF,47.0,2022-03-06
BXMT,31.78,2022-03-06
NWS,21.35,2022-03-06
CHD,100.69,2022-03-06
XLY,171.6,2022-03-06
DLR,139.24,2022-03-06
IP,42.21,2022-03-06
SE,97.44,2022-03-06
CC,25.23,2022-03-06
DAN,16.23,2022-03-06
ZBH,120.44,2022-03-06
NVAX,71.72,2022-03-06
LPX,69.44,2022-03-06
BBY,106.1,2022-03-06
GRUB,6.07,2022-03-06
BG,108.32,2022-03-06
LC,15.81,2022-03-06
PWR,109.17,2022-03-06
TNDM,110.19,2022-03-06
DXCM,432.06,2022-03-06
NTCT,31.66,2022-03-06
NYMT,3.58,2022-03-06
NEM,74.28,2022-03-06
BEN,28.2,2022-03-06
SHLX,14.09,2022-03-06
NAVI,16.49,2022-03-06
PBH,59.09,2022-03-06
SBH,16.92,2022-03-06
NI,30.48,2022-03-06
LLY,262.87,2022-03-06
STNG,19.05,2022-03-06
TTWO,158.01,2022-03-06
KLAC,332.1,2022-03-06
LADR,11.37,2022-03-06
XRT,75.48,2022-03-06
FHN,23.7,2022-03-06
GOOG,2642.44,2022-03-06
HSIC,86.98,2022-03-06
HLX,4.44,2022-03-06
RSG,129.97,2022-03-06
BIG,38.05,2022-03-06
CYH,11.0,2022-03-06
PAYC,318.54,2022-03-06
GCP,31.7,2022-03-06
YUM,118.73,2022-03-06
STZ,217.66,2022-03-06
EWH,22.09,2022-03-06
LBTYK,24.45,2022-03-06
LYG,2.25,2022-03-06
MEOH,51.89,2022-03-06
GIII,25.08,2022-03-06
USFD,36.43,2022-03-06
SSO,60.02,2022-03-06
SFM,33.62,2022-03-06
SPXL,105.27,2022-03-06
THC,91.13,2022-03-06
DOC,17.21,2022-03-06
ALLY,44.79,2022-03-06
QRVO,129.63,2022-03-06
TOPS,1.13,2022-03-06
HEDJ,68.53,2022-03-06
EVR,118.74,2022-03-06
CMS,67.0,2022-03-06
XLB,83.06,2022-03-06
DOX,81.88,2022-03-06
RIO,81.88,2022-03-06
HMHC,20.92,2022-03-06
NMRK,16.72,2022-03-06
PDM,17.11,2022-03-06
KMT,30.41,2022-03-06
SRNE,2.2,2022-03-06
AMR,116.15,2022-03-06
HP,39.49,2022-03-06
FLR,23.45,2022-03-06
JHG,30.26,2022-03-06
FDX,214.54,2022-03-06
EMN,114.86,2022-03-06
OPK,3.06,2022-03-06
LNG,139.63,2022-03-06
EWZ,34.29,2022-03-06
WU,17.76,2022-03-06
BAX,86.02,2022-03-06
CARS,15.38,2022-03-06
NUAN,55.99,2022-03-06
TEL,133.43,2022-03-06
MLM,374.93,2022-03-06
GWW,488.01,2022-03-06
PBF,20.21,2022-03-06
GT,13.49,2022-03-06
EA,126.49,2022-03-06
